#Chinese homophony raw data
#Compiled by Stephen Politzer-Ahles, 2009-12-03
#This document was generated using Da Jun's character corpus <http://lingua.mtsu.edu/chinese-computing/> and
#  the Unihan database <http://www.unicode.org/charts/unihan.html> . If you use it for anything, please
#  credit these two sources accordingly

geng4	1  66F4
mu4	16  76EE 6728 5E55 7267 7A46 5893 6155 52DF 66AE 7766 6C90 82DC 94BC 4EEB 96EE 9702
jun1	2  83CC 7B60
chui2	10  5782 690E 9524 6376 69CC 9672 68F0 7BA0 9840 83D9
cha4	8  5DEE 5239 8BE7 5C94 6748 8869 59F9 6C4A
dang4	12  5F53 8361 6863 6321 5B95 51FC 7800 83EA 903F 7C1C 8DA4 7911
li3	16  91CC 7406 674E 793C 54E9 9CA4 8821 4FDA 6FA7 9502 91B4 5A0C 9026 9CE2 609D 7CB4
chu1	4  51FA 521D 6A17 9F63
fa1	2  53D1 9AEA
kan1	6  770B 520A 582A 52D8 9F9B 6221
heng1	3  54FC 4EA8 811D
a1	5  963F 554A 5475 9515 5416
zun4	1  928C
zhen4	10  9635 9547 9707 632F 5733 6715 8D48 9E29 7D7C 7739
bai3	5  767E 6446 67CF 4F70 636D
cun3	1  5FD6
sao4	6  626B 81CA 57FD 7619 77C2 9ADE
chi3	6  5C3A 9F7F 803B 4F88 892B 8C49
cuan1	5  8E7F 64BA 6C3D 6C46 9569
pan1	5  756A 6F58 6500 6273 7705
pin3	2  54C1 6980
mie1	2  54A9 4E5C
ji1	50  673A 51E0 57FA 51FB 5947 6FC0 79EF 8FF9 9E21 7EE9 808C 7391 9965 7A3D 573E 59EC 8BA5 7578 7F09 53FD 77F6 7F81 5527 8DFB 5D47 7B95 757F 4E69 7284 82A8 5C50 54AD 8D4D 9F51 7B04 58BC 8C3F 525E 8E26 97F2 7F87 913F 8640 89ED 9416 97BF 7A18 898A 79A8 8CF7
mei4	11  59B9 5A9A 6627 9B45 5BD0 8882 770A 8DCA 7BC3 9B3D 7959
liu2	20  6D41 7559 5218 7624 69B4 786B 6D4F 7409 905B 998F 954F 938F 65D2 9A9D 9C21 98D7 99F5 9E60 85F0 9A51
wan4	7  4E07 73A9 8155 7FEB 9124 8115 8F10
lun1	1  62A1
fei2	3  80A5 8153 6DDD
cong2	6  4ECE 4E1B 6DD9 742E 8CE8 8AB4
tuo3	4  59A5 692D 5EB9 8EC3
pao3	1  8DD1
song3	5  8038 609A 6002 7AE6 99F7
dan4	21  4F46 77F3 5F39 62C5 6DE1 65E6 86CB 8BDE 6C2E 60EE 6FB9 5556 840F 7605 972E 79AB 8711 994F 99F3 8D09 9AE7
kun3	8  56F0 6346 9603 6083 7871 7A1B 7D91 7A07
qing4	6  4EB2 5E86 7F44 78EC 7B90 7883
pen3	1  7FF8
zu1	2  79DF 83F9
xue3	2  96EA 9CD5
